recall,precision
0.9996911673872761,0.8812959433705418
0.9996911673872761,0.8815359477124183
0.9996911673872761,0.8820163487738419
0.9996911673872761,0.8822567457072772
0.9996911673872761,0.8824972737186477
0.9993823347745522,0.8827059465357338
0.9993823347745522,0.8829467939972715
0.9993823347745522,0.8831877729257642
0.9993823347745522,0.8836701256144184
0.9993823347745522,0.8841530054644808
0.9993823347745522,0.8843946433451763
0.9993823347745522,0.8848783155592015
0.9993823347745522,0.8853625170998632
0.9993823347745522,0.8856048166392994
0.9993823347745522,0.8858472488365727
0.9993823347745522,0.8860898138006572
0.9993823347745522,0.886818306385311
0.9993823347745522,0.8870614035087719
0.9993823347745522,0.8873046339457088
0.9993823347745522,0.8877914951989027
0.9993823347745522,0.8882788910238815
0.9993823347745522,0.8885227896760022
0.9993823347745522,0.8887668223015655
0.9993823347745522,0.889010989010989
0.9993823347745522,0.8892552899148117
0.9993823347745522,0.889744294748419
0.9993823347745522,0.88998899889989
0.9993823347745522,0.8902338376891334
0.9993823347745522,0.8907239196256538
0.9990735021618283,0.8906938325991189
0.9990735021618283,0.8914301460457427
0.9990735021618283,0.8919216983733113
0.9990735021618283,0.8924137931034483
0.9990735021618283,0.8926600441501104
0.9990735021618283,0.8931529541689675
0.9990735021618283,0.8933996133664733
0.9990735021618283,0.893646408839779
0.9990735021618283,0.8938933407018513
0.9990735021618283,0.8941404090657822
0.9990735021618283,0.8946349557522124
0.9990735021618283,0.8948824343015215
0.9990735021618283,0.8951300498063088
0.9990735021618283,0.8953778023802934
0.9990735021618283,0.89562569213732
0.9990735021618283,0.8958737191913597
0.9990735021618283,0.8961218836565097
0.9990735021618283,0.8963701856469937
0.9990735021618283,0.8966186252771619
0.9990735021618283,0.8971159179145868
0.9990735021618283,0.897364771151179
0.9990735021618283,0.8976137624861266
0.9990735021618283,0.8981121599111604
0.9990735021618283,0.8986111111111111
0.9990735021618283,0.8991106170094497
0.9990735021618283,0.8993605782596609
0.9990735021618283,0.8996106785317018
0.9990735021618283,0.8998609179415855
0.9990735021618283,0.9001112966054535
0.9990735021618283,0.900361814639577
0.9990735021618283,0.9006124721603563
0.9990735021618283,0.9008632692843219
0.9990735021618283,0.9011142061281338
0.9990735021618283,0.9013652828085817
0.9990735021618283,0.9016164994425864
0.9990735021618283,0.902370990237099
0.9990735021618283,0.9026227678571429
0.9990735021618283,0.9028746860173039
0.9990735021618283,0.9031267448352875
0.9990735021618283,0.9033789444289305
0.9990735021618283,0.9036312849162011
0.9990735021618283,0.9038837664151997
0.9987646695491044,0.9038569032979318
0.9987646695491044,0.9041095890410958
0.9987646695491044,0.9046153846153846
0.9987646695491044,0.9048684946838277
0.9987646695491044,0.9053751399776035
0.9987646695491044,0.905628675441053
0.9987646695491044,0.9058823529411765
0.9984558369363805,0.9063638912251192
0.9984558369363805,0.9068723702664797
0.9984558369363805,0.9071268237934904
0.9984558369363805,0.907636159460977
0.9984558369363805,0.9078910418421792
0.9984558369363805,0.9081460674157303
0.9984558369363805,0.9084012363023322
0.9984558369363805,0.9086565486228219
0.9981470043236566,0.9096538136785814
0.9981470043236566,0.9099099099099099
0.9981470043236566,0.9101661503801746
0.9981470043236566,0.9104225352112676
0.9981470043236566,0.9106790645252184
0.9981470043236566,0.910935738444194
0.9981470043236566,0.9111925570904991
0.9978381717109327,0.9111675126903553
0.9975293390982087,0.9113995485327314
0.9975293390982087,0.9116567880327406
0.9975293390982087,0.911914172783738
0.9975293390982087,0.9121717029087828
0.9975293390982087,0.9124293785310734
0.9975293390982087,0.9126871997739474
0.9975293390982087,0.9129451667608819
0.9972205064854849,0.9136955291454443
0.9972205064854849,0.9139541466176054
0.9972205064854849,0.9142129105322764
0.9972205064854849,0.9144718210138771
0.9972205064854849,0.9147308781869689
0.9972205064854849,0.9152494331065759
0.9972205064854849,0.9155089311029203
0.9972205064854849,0.9157685762904141
0.9972205064854849,0.9160283687943263
0.9972205064854849,0.9162883087400681
0.9972205064854849,0.9165483962531933
0.9972205064854849,0.9168086314593981
0.9972205064854849,0.9170690144845215
0.9972205064854849,0.9173295454545455
0.9972205064854849,0.9175902244955954
0.9972205064854849,0.9178510517339398
0.9972205064854849,0.918112027295991
0.9972205064854849,0.9183731513083049
0.9972205064854849,0.9186344238975818
0.9972205064854849,0.919157415314546
0.9972205064854849,0.9194191343963554
0.9972205064854849,0.9196810025633723
0.9972205064854849,0.91994301994302
0.9972205064854849,0.9202051866628669
0.9972205064854849,0.9204675028506272
0.9972205064854849,0.9207299686341602
0.9972205064854849,0.9209925841414718
0.9972205064854849,0.9212553495007133
0.9972205064854849,0.9215182648401826
0.9969116738727609,0.9214958606908364
0.9969116738727609,0.92175899486008
0.9969116738727609,0.9220222793487575
0.9969116738727609,0.9222857142857143
0.9969116738727609,0.9225492997999428
0.9969116738727609,0.9228130360205832
0.9969116738727609,0.9233409610983981
0.9969116738727609,0.9236051502145923
0.9969116738727609,0.9238694905552376
0.9966028412600371,0.9241122565864834
0.9966028412600371,0.9243769693497565
0.9966028412600371,0.9246418338108883
0.9966028412600371,0.9249068501003153
0.9966028412600371,0.9251720183486238
0.9966028412600371,0.9254373386865501
0.9966028412600371,0.9257028112449799
0.9966028412600371,0.9259684361549498
0.9966028412600371,0.9262342135476463
0.9966028412600371,0.9265001435544071
0.9966028412600371,0.9267662263067202
0.9962940086473132,0.9267451881643206
0.9962940086473132,0.9270114942528735
0.9962940086473132,0.927277953434895
0.9962940086473132,0.9275445658424382
0.9962940086473132,0.9278113316077078
0.9962940086473132,0.928078250863061
0.9962940086473132,0.9283453237410072
0.9962940086473132,0.9286125503742084
0.9962940086473132,0.9288799308954794
0.9962940086473132,0.929147465437788
0.9962940086473132,0.9294151541342552
0.9962940086473132,0.9296829971181556
0.9962940086473132,0.9299509945229173
0.9962940086473132,0.9302191464821222
0.9962940086473132,0.9304874531295068
0.9962940086473132,0.9307559145989613
0.9962940086473132,0.931024531024531
0.9962940086473132,0.9312933025404158
0.9962940086473132,0.9315622292809702
0.9962940086473132,0.9318313113807047
0.9962940086473132,0.9323699421965318
0.9962940086473132,0.9326394911824226
0.9962940086473132,0.9329091960670908
0.9962940086473132,0.9331790569858258
0.9962940086473132,0.9334490740740741
0.9962940086473132,0.9337192474674385
0.9962940086473132,0.9339895773016792
0.9962940086473132,0.9345307068366164
0.9962940086473132,0.9348015068096204
0.9962940086473132,0.9353435778486517
0.9962940086473132,0.935614849187935
0.9962940086473132,0.9358862779228314
0.9962940086473132,0.9361578641903656
0.9962940086473132,0.9364296081277214
0.9962940086473132,0.9367015098722415
0.9962940086473132,0.936973569561429
0.9962940086473132,0.9375181633246149
0.9962940086473132,0.9377906976744186
0.9962940086473132,0.9380633905205001
0.9962940086473132,0.9383362420011635
0.9962940086473132,0.9386092522548735
0.9959851760345892,0.9385913853317811
0.9959851760345892,0.9388646288209607
0.9959851760345892,0.9391380314502038
0.9959851760345892,0.9394115933585785
0.9959851760345892,0.9396853146853147
0.9959851760345892,0.9399591955698047
0.9959851760345892,0.9402332361516035
0.9959851760345892,0.9405074365704287
0.9959851760345892,0.940781796966161
0.9959851760345892,0.9410563174788444
0.9956763434218654,0.9413138686131387
0.9956763434218654,0.9415887850467289
0.9956763434218654,0.9418638621092609
0.9956763434218654,0.9421390999415546
0.9956763434218654,0.9424144986845951
0.9953675108091414,0.9423976608187135
0.9953675108091414,0.9426732962854636
0.9953675108091414,0.9429490930368637
0.9953675108091414,0.9432250512145156
0.9953675108091414,0.9435011709601874
0.9953675108091414,0.9437774524158126
0.9953675108091414,0.9440538957234915
0.9953675108091414,0.9443305010254908
0.9950586781964176,0.9443141852286049
0.9950586781964176,0.9445910290237467
0.9950586781964176,0.9448680351906158
0.9950586781964176,0.9451452038721032
0.9950586781964176,0.9454225352112676
0.9950586781964176,0.9457000293513355
0.9950586781964176,0.9459776864357017
0.9950586781964176,0.9465334900117509
0.9947498455836936,0.9465177784307963
0.9947498455836936,0.9467960023515579
0.9947498455836936,0.9470743898853279
0.9944410129709698,0.9470588235294117
0.9944410129709698,0.9473374521918211
0.9944410129709698,0.9476162448499117
0.9944410129709698,0.9478952016485134
0.9944410129709698,0.9481743227326266
0.9941321803582458,0.9481590574374079
0.993823347745522,0.9481437831467295
0.993514515132798,0.9481284998526378
0.9932056825200741,0.9481132075471698
0.9928968499073502,0.9480979062223532
0.9925880172946263,0.9480825958702065
0.9922791846819025,0.9480672764827383
0.9919703520691785,0.948051948051948
0.9916615194564546,0.9480366105698258
0.9913526868437307,0.9480212640283521
0.9913526868437307,0.948301329394387
0.9910438542310068,0.9482860520094563
0.9907350216182829,0.9482707655926692
0.990426189005559,0.9482554701360142
0.990117356392835,0.94824016563147
0.9898085237801112,0.9482248520710059
0.9898085237801112,0.9485054749926014
0.9898085237801112,0.9487862640615748
0.9894996911673872,0.9487710986082322
0.9891908585546634,0.9487559241706162
0.9888820259419395,0.9487407407407408
0.9885731933292156,0.9487255483106105
0.9882643607164917,0.9487103468722206
0.9879555281037677,0.9486951364175563
0.9876466954910439,0.9486799169385939
